"","Todos los dispositivos","De escritorio","MÃ³vil"
"ene 2024","155","155","0"
"feb 2024","8067","1251","6816"
"mar 2024","10050","10050","0"
"abr 2024","33903","33903","0"
"may 2024","8272","8272","0"
"jun 2024","9425","9425","0"
"jul 2024","37045","18019","19026"
"ago 2024","40036","29003","11033"
"sept 2024","16947","16822","125"
"oct 2024","32917","30878","2039"
"nov 2024","18328","18328","0"
"dic 2024","22942","22942","0"